2026/08/09 03:05:57 [error] 275#275: *1527 open() "/var/www/html/api/v1/problems/1001" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /api/v1/problems/1001 HTTP/1.1", host: "localhost", referrer: "http://localhost/problems/1001"
2026/08/09 03:05:58 [error] 275#275: *1527 open() "/var/www/html/api/v1/problems/1001" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /api/v1/problems/1001 HTTP/1.1", host: "localhost", referrer: "http://localhost/problems/1001"
2026/08/09 03:06:11 [error] 275#275: *1527 open() "/var/www/html/api/v1/problems/1001" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /api/v1/problems/1001 HTTP/1.1", host: "localhost", referrer: "http://localhost/problems/1001"
2026/08/09 03:06:12 [error] 275#275: *1527 open() "/var/www/html/api/v1/problems/1001" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /api/v1/problems/1001 HTTP/1.1", host: "localhost", referrer: "http://localhost/problems/1001"
2026/08/09 03:06:14 [error] 275#275: *1527 open() "/var/www/html/problems/1001" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /problems/1001 HTTP/1.1", host: "localhost"
2026/08/09 03:36:47 [error] 296#296: *20 open() "/var/www/html/api/v1/auth/login" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /api/v1/auth/login HTTP/1.1", host: "localhost"
2026/08/09 03:57:51 [error] 297#297: *1234 open() "/var/www/html/teacher/ai-curator" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /teacher/ai-curator HTTP/1.1", host: "localhost"
2026/08/09 03:57:51 [error] 297#297: *1234 open() "/var/www/html/.well-known/appspecific/com.chrome.devtools.json" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
2026/08/09 04:22:53 [error] 318#318: *3326 open() "/var/www/html/teacher/ai-curator" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /teacher/ai-curator HTTP/1.1", host: "localhost"
2026/08/09 04:23:04 [error] 318#318: *3326 open() "/var/www/html/teacher/ai-curator" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /teacher/ai-curator HTTP/1.1", host: "localhost"
2026/08/09 04:23:05 [error] 318#318: *3326 open() "/var/www/html/teacher/ai-curator" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /teacher/ai-curator HTTP/1.1", host: "localhost"
2026/08/09 04:23:22 [error] 318#318: *3326 open() "/var/www/html/contests/team-arena" failed (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /contests/team-arena?contest_id=1 HTTP/1.1", host: "localhost"
2026/08/10 13:12:09 [error] 339#339: *1621 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:12:12 [error] 339#339: *1621 "/var/www/html/lessons/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /lessons/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:36 [error] 368#368: *1685 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:38 [error] 368#368: *1685 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:38 [error] 368#368: *1685 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:38 [error] 368#368: *1685 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:39 [error] 368#368: *1685 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
2026/08/10 13:13:39 [error] 368#368: *1685 "/var/www/html/classrooms/index.html" is not found (2: No such file or directory), client: 172.18.0.1, server: localhost-nginx-proxy-manager, request: "GET /classrooms/ HTTP/1.1", host: "oj.know.mn"
