[09/Aug/2026:03:11:07 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:11:07 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:11:10 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:11:11 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:11:12 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:11:12 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:11:14 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:11:14 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:11:25 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
[09/Aug/2026:03:11:25 +0000] - 502 502 - GET http ai.know.mn "/favicon.ico" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "http://ai.know.mn/"
[09/Aug/2026:03:11:26 +0000] - 502 502 - GET http ai.know.mn "/" [Client 172.18.0.1] [Length 556] [Gzip -] [Sent-to open-webui] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36" "-"
